record_id,source,language_ok,kurmanji_ok,punctuation_ok,question_is_real,context_ok,encoding_ok,license_metadata_ok,accept,comment
v2q_048615,kurdish_ai_corpus,,,,,,,,,
v2q_043322,kurdish_ai_corpus,,,,,,,,,
v2q_038840,kurdish_ai_corpus,,,,,,,,,
v2q_037282,kurdish_ai_corpus,,,,,,,,,
v2q_042360,kurdish_ai_corpus,,,,,,,,,
v2q_044158,kurdish_ai_corpus,,,,,,,,,
v2q_037930,kurdish_ai_corpus,,,,,,,,,
v2q_043120,kurdish_ai_corpus,,,,,,,,,
v2q_045777,kurdish_ai_corpus,,,,,,,,,
v2q_044254,kurdish_ai_corpus,,,,,,,,,
v2q_038500,kurdish_ai_corpus,,,,,,,,,
v2q_035870,kurdish_ai_corpus,,,,,,,,,
v2q_037650,kurdish_ai_corpus,,,,,,,,,
v2q_040901,kurdish_ai_corpus,,,,,,,,,
v2q_045266,kurdish_ai_corpus,,,,,,,,,
v2q_048962,kurdish_ai_corpus,,,,,,,,,
v2q_043501,kurdish_ai_corpus,,,,,,,,,
v2q_045241,kurdish_ai_corpus,,,,,,,,,
v2q_048623,kurdish_ai_corpus,,,,,,,,,
v2q_039178,kurdish_ai_corpus,,,,,,,,,
v2q_045724,kurdish_ai_corpus,,,,,,,,,
v2q_044100,kurdish_ai_corpus,,,,,,,,,
v2q_044295,kurdish_ai_corpus,,,,,,,,,
v2q_043772,kurdish_ai_corpus,,,,,,,,,
v2q_045449,kurdish_ai_corpus,,,,,,,,,
v2q_040050,kurdish_ai_corpus,,,,,,,,,
v2q_040329,kurdish_ai_corpus,,,,,,,,,
v2q_038747,kurdish_ai_corpus,,,,,,,,,
v2q_038482,kurdish_ai_corpus,,,,,,,,,
v2q_041902,kurdish_ai_corpus,,,,,,,,,
v2q_039887,kurdish_ai_corpus,,,,,,,,,
v2q_043729,kurdish_ai_corpus,,,,,,,,,
v2q_037389,kurdish_ai_corpus,,,,,,,,,
v2q_037303,kurdish_ai_corpus,,,,,,,,,
v2q_041631,kurdish_ai_corpus,,,,,,,,,
v2q_044175,kurdish_ai_corpus,,,,,,,,,
v2q_046936,kurdish_ai_corpus,,,,,,,,,
v2q_047564,kurdish_ai_corpus,,,,,,,,,
v2q_047829,kurdish_ai_corpus,,,,,,,,,
v2q_047953,kurdish_ai_corpus,,,,,,,,,
v2q_048007,kurdish_ai_corpus,,,,,,,,,
v2q_048352,kurdish_ai_corpus,,,,,,,,,
v2q_045239,kurdish_ai_corpus,,,,,,,,,
v2q_039113,kurdish_ai_corpus,,,,,,,,,
v2q_038307,kurdish_ai_corpus,,,,,,,,,
v2q_046000,kurdish_ai_corpus,,,,,,,,,
v2q_045062,kurdish_ai_corpus,,,,,,,,,
v2q_036800,kurdish_ai_corpus,,,,,,,,,
v2q_040040,kurdish_ai_corpus,,,,,,,,,
v2q_037825,kurdish_ai_corpus,,,,,,,,,
v2q_035839,kurdish_ai_corpus,,,,,,,,,
v2q_046319,kurdish_ai_corpus,,,,,,,,,
v2q_037522,kurdish_ai_corpus,,,,,,,,,
v2q_039004,kurdish_ai_corpus,,,,,,,,,
v2q_041802,kurdish_ai_corpus,,,,,,,,,
v2q_039871,kurdish_ai_corpus,,,,,,,,,
v2q_042262,kurdish_ai_corpus,,,,,,,,,
v2q_047625,kurdish_ai_corpus,,,,,,,,,
v2q_046195,kurdish_ai_corpus,,,,,,,,,
v2q_044838,kurdish_ai_corpus,,,,,,,,,
v2q_041548,kurdish_ai_corpus,,,,,,,,,
