record_id,source,source_document_id,source_url,license
v2q_028779,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6106?page=935,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6106?page=935,check dataset card / original news site licenses before redistribution
v2q_028780,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6003?page=935,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6003?page=935,check dataset card / original news site licenses before redistribution
v2q_028781,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6102?page=935,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6102?page=935,check dataset card / original news site licenses before redistribution
v2q_028782,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6042?page=935,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6042?page=935,check dataset card / original news site licenses before redistribution
v2q_028783,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/5988?page=935,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/5988?page=935,check dataset card / original news site licenses before redistribution
v2q_028784,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6068?page=935,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6068?page=935,check dataset card / original news site licenses before redistribution
v2q_028785,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6033?page=935,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6033?page=935,check dataset card / original news site licenses before redistribution
v2q_028786,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6002?page=935,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6002?page=935,check dataset card / original news site licenses before redistribution
v2q_028787,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6100?page=935,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6100?page=935,check dataset card / original news site licenses before redistribution
v2q_028788,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6172?page=934,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6172?page=934,check dataset card / original news site licenses before redistribution
v2q_028789,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6384?page=934,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6384?page=934,check dataset card / original news site licenses before redistribution
v2q_028790,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6229?page=934,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6229?page=934,check dataset card / original news site licenses before redistribution
v2q_028791,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6351?page=934,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6351?page=934,check dataset card / original news site licenses before redistribution
v2q_028792,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6307?page=934,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6307?page=934,check dataset card / original news site licenses before redistribution
v2q_028793,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6399?page=934,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6399?page=934,check dataset card / original news site licenses before redistribution
v2q_028794,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6286?page=934,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6286?page=934,check dataset card / original news site licenses before redistribution
v2q_028795,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6287?page=934,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6287?page=934,check dataset card / original news site licenses before redistribution
v2q_028796,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6166?page=934,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6166?page=934,check dataset card / original news site licenses before redistribution
v2q_028797,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6209?page=934,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6209?page=934,check dataset card / original news site licenses before redistribution
v2q_028798,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6318?page=934,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6318?page=934,check dataset card / original news site licenses before redistribution
v2q_028799,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6201?page=934,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6201?page=934,check dataset card / original news site licenses before redistribution
v2q_028800,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6416?page=933,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6416?page=933,check dataset card / original news site licenses before redistribution
v2q_028801,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6513?page=933,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6513?page=933,check dataset card / original news site licenses before redistribution
v2q_028802,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6611?page=933,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6611?page=933,check dataset card / original news site licenses before redistribution
v2q_028803,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6432?page=933,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6432?page=933,check dataset card / original news site licenses before redistribution
v2q_028804,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6409?page=933,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6409?page=933,check dataset card / original news site licenses before redistribution
v2q_028805,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6538?page=933,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6538?page=933,check dataset card / original news site licenses before redistribution
v2q_028806,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6644?page=933,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6644?page=933,check dataset card / original news site licenses before redistribution
v2q_028807,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6521?page=933,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6521?page=933,check dataset card / original news site licenses before redistribution
v2q_028808,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6563?page=933,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6563?page=933,check dataset card / original news site licenses before redistribution
v2q_028809,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6454?page=933,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6454?page=933,check dataset card / original news site licenses before redistribution
v2q_028810,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6501?page=933,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6501?page=933,check dataset card / original news site licenses before redistribution
v2q_028811,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6873?page=932,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6873?page=932,check dataset card / original news site licenses before redistribution
v2q_028812,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6721?page=932,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6721?page=932,check dataset card / original news site licenses before redistribution
v2q_028813,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6776?page=932,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6776?page=932,check dataset card / original news site licenses before redistribution
v2q_028814,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6736?page=932,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6736?page=932,check dataset card / original news site licenses before redistribution
v2q_028815,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6880?page=932,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6880?page=932,check dataset card / original news site licenses before redistribution
v2q_028816,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6739?page=932,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6739?page=932,check dataset card / original news site licenses before redistribution
v2q_028817,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6874?page=932,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6874?page=932,check dataset card / original news site licenses before redistribution
v2q_028818,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6667?page=932,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6667?page=932,check dataset card / original news site licenses before redistribution
v2q_028819,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6889?page=932,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6889?page=932,check dataset card / original news site licenses before redistribution
v2q_028820,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6807?page=932,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6807?page=932,check dataset card / original news site licenses before redistribution
v2q_028821,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6693?page=932,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/6693?page=932,check dataset card / original news site licenses before redistribution
